DAYTRIPS (000'),YEAR ENDING JUNE 1999,YEAR ENDING JUNE 2000,YEAR ENDING JUNE 2001,YEAR ENDING JUNE 2002,YEAR ENDING JUNE 2003,YEAR ENDING JUNE 2004,YEAR ENDING JUNE 2005,YEAR ENDING JUNE 2006,YEAR ENDING JUNE 2007,YEAR ENDING JUNE 2008,YEAR ENDING JUNE 2009,YEAR ENDING JUNE 2010,YEAR ENDING JUNE 2011,YEAR ENDING JUNE 2012,YEAR ENDING JUNE 2013,YEAR ENDING JUNE 2014,YEAR ENDING JUNE 2015,YEAR ENDING JUNE 2016,YEAR ENDING JUNE 2017,YEAR ENDING JUNE 2018,YEAR ENDING JUNE 2019,YEAR ENDING JUNE 2020,Total for Region
     Central Murray, 765 , 757 ," 1,033 ", 774 , 638 , 585 , 601 , 583 , 819 , 714 , 676 , 724 , 771 , 793 , 917 , 805 , 738 , 856 , 906 ," 1,163 ", 907 , 943 ," 17,466 "
     Geelong and the Bellarine," 3,154 "," 3,204 "," 2,937 "," 2,213 "," 2,778 "," 2,526 "," 2,511 "," 2,177 "," 2,702 "," 2,580 "," 3,123 "," 3,068 "," 3,036 "," 2,992 "," 2,983 "," 3,105 "," 2,967 "," 2,982 "," 3,891 "," 3,884 "," 4,159 "," 4,083 "," 67,056 "
     Gippsland," 2,451 "," 2,480 "," 2,330 "," 2,180 "," 1,796 "," 2,066 "," 2,033 "," 1,781 "," 1,950 "," 2,074 "," 2,314 "," 1,917 "," 2,222 "," 2,538 "," 2,192 "," 2,595 "," 2,719 "," 2,865 "," 3,093 "," 2,625 "," 3,419 "," 2,917 "," 52,556 "
     Goulburn," 1,440 "," 1,674 "," 1,386 "," 1,119 "," 1,179 "," 1,050 "," 1,170 "," 1,142 "," 1,169 "," 1,290 "," 1,232 "," 1,315 "," 1,395 "," 1,324 "," 1,127 "," 1,262 "," 1,305 "," 1,175 "," 1,473 "," 1,575 "," 2,021 "," 1,546 "," 29,370 "
     High Country," 1,195 "," 1,525 "," 1,420 "," 1,036 "," 1,163 "," 1,413 "," 1,076 ", 930 ," 1,209 "," 1,005 "," 1,100 "," 1,430 "," 1,267 "," 1,555 "," 1,247 "," 1,545 "," 1,509 "," 1,353 "," 1,781 "," 1,911 "," 1,789 "," 1,818 "," 30,276 "
     Lakes, 497 , 516 , 561 , 502 , 587 , 393 , 540 , 475 , 404 , 600 , 454 , 610 , 515 , 546 , 609 , 393 , 518 , 425 , 539 , 533 , 625 , 741 ," 11,583 "
     Macedon," 1,119 ", 916 ," 1,057 ", 756 , 763 , 770 , 646 , 719 , 837 , 706 , 787 , 850 , 877 ," 1,123 "," 1,065 ", 989 ," 1,144 "," 1,202 "," 1,212 "," 1,365 "," 1,511 "," 1,632 "," 22,046 "
     Mallee, 645 , 556 , 644 , 546 , 538 , 547 , 407 , 474 , 513 , 460 , 461 , 564 , 448 , 604 , 661 , 557 , 507 , 446 , 508 , 538 , 648 , 567 ," 11,841 "
     Melbourne East," 2,557 "," 2,345 "," 2,358 "," 2,202 "," 2,011 "," 1,738 "," 1,869 "," 1,845 "," 2,120 "," 2,177 "," 1,983 "," 2,379 "," 2,682 "," 2,964 "," 2,500 "," 3,008 "," 3,002 "," 3,978 "," 3,564 "," 3,844 "," 4,602 "," 3,587 "," 59,313 "
     Murray East, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , -   
     Peninsula," 3,982 "," 3,765 "," 4,029 "," 3,679 "," 3,915 "," 3,262 "," 3,074 "," 2,830 "," 2,986 "," 3,401 "," 3,163 "," 3,526 "," 3,108 "," 4,050 "," 4,125 "," 3,711 "," 4,157 "," 4,190 "," 4,751 "," 5,870 "," 6,135 "," 5,247 "," 86,955 "
     Phillip Island," 1,367 "," 1,131 "," 1,285 "," 1,448 "," 1,244 ", 973 , 972 , 889 ," 1,093 "," 1,307 "," 1,069 ", 945 ," 1,074 "," 1,064 "," 1,321 "," 1,368 "," 1,098 "," 1,311 "," 1,382 "," 1,455 "," 1,306 "," 1,307 "," 26,411 "
     Spa Country, 560 , 475 , 504 , 527 , 421 , 576 , 470 , 449 , 475 , 512 , 509 , 761 , 546 , 590 , 545 , 558 , 595 , 675 , 735 , 756 , 873 , 663 ," 12,776 "
     Upper Yarra, 581 , 746 , 453 , 425 , 596 , np , 584 , 416 , 462 , 565 , 503 , 600 , 675 , 701 , 607 , 440 , 602 , 692 , 650 , 684 , 872 , 732 ," 12,587 "
     Great Ocean Road," 2,588 "," 3,070 "," 2,720 "," 2,419 "," 2,309 "," 2,254 "," 1,837 "," 1,834 "," 2,352 "," 2,361 "," 2,339 "," 2,194 "," 2,249 "," 2,537 "," 2,126 "," 2,458 "," 2,471 "," 3,147 "," 2,863 "," 3,196 "," 3,691 "," 2,919 "," 55,935 "
     Western Grampians, 354 , 678 , 442 , 439 , 518 , 373 , 341 , 353 , 276 , 287 , 269 , 472 , 292 , 382 , np , 393 , 542 , 405 , 540 , 626 , 634 , 616 ," 9,233 "
     Wimmera, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , -   
     Unknown Region VIC - Offshore and Migratory VIC, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , -   
     Total VIC," 43,682 "," 43,563 "," 41,376 "," 36,440 "," 37,788 "," 33,228 "," 31,309 "," 31,753 "," 33,966 "," 35,412 "," 37,526 "," 40,409 "," 40,520 "," 44,123 "," 43,830 "," 42,905 "," 44,002 "," 47,318 "," 49,559 "," 55,315 "," 61,453 "," 55,555 "," 931,032 "
     Brisbane," 9,820 "," 10,678 "," 9,338 "," 9,122 "," 8,062 "," 11,531 "," 10,644 "," 9,489 "," 9,308 "," 10,013 "," 11,588 "," 12,326 "," 13,560 "," 13,735 "," 13,311 "," 13,752 "," 13,522 "," 15,663 "," 14,929 "," 16,201 "," 19,022 "," 17,373 "," 272,987 "
     Bundaberg, 609 , 686 , 564 , np , np , 788 , 646 , 626 , 623 , np , np , 945 , 760 ," 1,017 "," 1,101 ", 925 , 776 , 667 , 661 , 700 , 828 , 800 ," 13,721 "
     Southern Queensland Country," 2,263 "," 3,047 "," 2,098 "," 2,190 "," 1,990 "," 2,191 "," 2,868 "," 2,264 "," 2,382 "," 2,379 "," 2,969 "," 3,214 "," 2,975 "," 3,082 "," 3,895 "," 3,161 "," 3,512 "," 3,570 "," 3,361 "," 3,742 "," 3,895 "," 3,529 "," 64,576 "
     Fraser Coast, 548 , np , np , np , np , np , 618 , 552 , np , 690 , 723 , 616 , np , 999 , 755 , 737 , 658 , 710 , 805 , 608 , 892 , 742 ," 10,652 "
     Gold Coast," 4,746 "," 4,756 "," 5,147 "," 4,568 "," 4,671 "," 5,091 "," 5,429 "," 4,881 "," 5,238 "," 4,551 "," 5,136 "," 4,898 "," 6,173 "," 5,965 "," 6,085 "," 6,535 "," 6,555 "," 7,109 "," 6,127 "," 7,415 "," 8,307 "," 7,281 "," 126,664 "
     Mackay, np , np , 567 , 732 , np , 632 , 667 , 584 , 835 , np , np , 934 , 726 ," 1,018 ", 977 , 860 , 833 , 736 , 680 , 667 , 813 , 738 ," 13,001 "
     Townsville," 1,022 ", 997 , 746 ," 1,303 ", 682 ," 1,188 ", 886 ," 1,146 "," 1,072 ", 988 ," 1,078 "," 1,301 "," 1,457 "," 1,253 "," 1,238 "," 1,432 "," 1,806 "," 1,843 "," 1,825 "," 1,389 "," 1,567 "," 1,355 "," 27,573 "
     Outback Queensland, 560 , 823 , 800 , np , 526 , 621 , 652 , 843 , 752 , 790 , np , np , np , np , np , np , 796 , np , 601 , 669 , 740 , 504 ," 9,677 "
     Sunshine Coast," 5,288 "," 4,956 "," 3,851 "," 3,954 "," 4,147 "," 4,852 "," 4,752 "," 4,360 "," 5,347 "," 4,676 "," 5,243 "," 5,107 "," 4,427 "," 5,192 "," 5,993 "," 5,588 "," 5,633 "," 6,204 "," 6,018 "," 6,947 "," 7,028 "," 7,023 "," 116,587 "
     Tropical North Queensland," 1,507 "," 1,907 "," 1,379 "," 1,237 "," 1,423 "," 1,842 "," 1,695 "," 1,664 "," 1,586 "," 2,003 "," 2,114 "," 2,084 "," 1,826 "," 2,420 "," 2,565 "," 1,971 "," 2,434 "," 2,269 "," 2,301 "," 2,516 "," 3,157 "," 2,553 "," 44,453 "
     Whitsundays, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , 404 , 404 
